frame,time(s),R knee (deg)
1,0.004166667,
2,0.008333333,23.389
3,0.0125,23.389
4,0.016666667,23.389
5,0.020833333,23.611
6,0.025,23.542
7,0.029166667,23.567
8,0.033333333,23.11
9,0.0375,23.086
10,0.041666667,22.875
11,0.045833333,23.345
12,0.05,23.11
13,0.054166667,23.567
14,0.058333333,23.332
15,0.0625,23.567
16,0.066666667,22.875
17,0.070833333,23.567
18,0.075,22.921
19,0.079166667,22.875
20,0.083333333,22.875
21,0.0875,22.875
22,0.091666667,22.921
23,0.095833333,22.921
24,0.1,22.921
25,0.104166667,22.921
26,0.108333333,22.921
27,0.1125,22.921
28,0.116666667,22.921
29,0.120833333,22.852
30,0.125,22.852
31,0.129166667,22.921
32,0.133333333,22.921
33,0.1375,22.852
34,0.141666667,22.852
35,0.145833333,22.967
36,0.15,22.852
37,0.154166667,23.073
38,0.158333333,23.073
39,0.1625,22.852
40,0.166666667,22.852
41,0.170833333,23.073
42,0.175,23.073
43,0.179166667,23.073
44,0.183333333,23.073
45,0.1875,23.073
46,0.191666667,23.073
47,0.195833333,23.143
48,0.2,23.143
49,0.204166667,23.377
50,0.208333333,23.143
51,0.2125,23.377
52,0.216666667,23.11
53,0.220833333,23.11
54,0.225,23.155
55,0.229166667,23.155
56,0.233333333,23.155
57,0.2375,23.332
58,0.241666667,23.086
59,0.245833333,23.11
60,0.25,23.307
61,0.254166667,23.307
62,0.258333333,23.086
63,0.2625,23.086
64,0.266666667,23.086
65,0.270833333,23.155
66,0.275,23.155
67,0.279166667,23.155
68,0.283333333,23.155
69,0.2875,23.135
70,0.291666667,23.135
71,0.295833333,23.135
72,0.3,23.135
73,0.304166667,23.135
74,0.308333333,23.11
75,0.3125,23.11
76,0.316666667,23.11
77,0.320833333,23.11
78,0.325,23.179
79,0.329166667,23.179
80,0.333333333,23.179
81,0.3375,23.179
82,0.341666667,23.179
83,0.345833333,23.179
84,0.35,23.179
85,0.354166667,23.179
86,0.358333333,23.086
87,0.3625,23.086
88,0.366666667,23.086
89,0.370833333,23.086
90,0.375,23.086
91,0.379166667,23.086
92,0.383333333,23.155
93,0.3875,23.155
94,0.391666667,23.135
95,0.395833333,23.155
96,0.4,23.135
97,0.404166667,23.135
98,0.408333333,23.135
99,0.4125,23.11
100,0.416666667,23.11
101,0.420833333,23.11
102,0.425,23.11
103,0.429166667,23.11
104,0.433333333,23.567
105,0.4375,23.345
106,0.441666667,23.567
107,0.445833333,23.567
108,0.45,23.567
109,0.454166667,23.567
110,0.458333333,23.523
111,0.4625,23.592
112,0.466666667,23.592
113,0.470833333,23.592
114,0.475,23.371
115,0.479166667,23.371
116,0.483333333,23.32
117,0.4875,23.371
118,0.491666667,23.32
119,0.495833333,23.32
120,0.5,23.32
121,0.504166667,23.32
122,0.508333333,23.32
123,0.5125,23.32
124,0.516666667,23.32
125,0.520833333,23.389
126,0.525,23.371
127,0.529166667,23.371
128,0.533333333,23.135
129,0.5375,23.135
130,0.541666667,23.135
131,0.545833333,23.11
132,0.55,23.592
133,0.554166667,23.11
134,0.558333333,23.11
135,0.5625,22.889
136,0.566666667,23.345
137,0.570833333,23.345
138,0.575,23.345
139,0.579166667,23.414
140,0.583333333,23.371
141,0.5875,23.371
142,0.591666667,23.371
143,0.595833333,23.371
144,0.6,23.371
145,0.604166667,23.371
146,0.608333333,23.371
147,0.6125,23.371
148,0.616666667,23.371
149,0.620833333,24.064
150,0.625,24.064
151,0.629166667,24.064
152,0.633333333,24.009
153,0.6375,24.009
154,0.641666667,23.788
155,0.645833333,23.788
156,0.65,23.857
157,0.654166667,23.842
158,0.658333333,23.857
159,0.6625,24.312
160,0.666666667,24.312
161,0.670833333,24.312
162,0.675,24.064
163,0.679166667,24.299
164,0.683333333,24.312
165,0.6875,24.064
166,0.691666667,24.52
167,0.695833333,24.52
168,0.7,24.52
169,0.704166667,24.52
170,0.708333333,24.52
171,0.7125,24.59
172,0.716666667,24.369
173,0.720833333,24.811
174,0.725,24.59
175,0.729166667,24.59
176,0.733333333,24.59
177,0.7375,24.59
178,0.741666667,24.59
179,0.745833333,25.281
180,0.75,25.251
181,0.754166667,25.323
182,0.758333333,25.089
183,0.7625,25.31
184,0.766666667,25.046
185,0.770833333,25.046
186,0.775,25.046
187,0.779166667,25.502
