frame,time(s),L hip,R hip,L knee,R knee,L ankle,R ankle,L crutch,R crutch,M_L crutch,M_R crutch,thigh c_x,thigh c_y,shank c_x,shank c_y
1,0.004166667,,,,,,,,,,,,,,
2,0.008333333,8.866,-17.65,4.49,23.389,20.737,20.004,,56.782,,,919.4999886,599.4999951,943.0000019,837.4999917
3,0.0125,8.241,-17.65,5.238,23.389,22.078,14.343,,56.783,,,919.4999886,599.4999951,943.0000019,837.4999917
4,0.016666667,7.988,-17.65,5.609,23.389,22.669,12.056,,57.519,,,919.4999886,599.4999951,943.0000019,837.4999917
5,0.020833333,7.748,-18.122,5.98,23.611,23.014,11.198,,56.825,,,918.9999962,599.4999951,943.0000019,837.4999917
6,0.025,7.498,-17.65,6.127,23.542,22.842,11.033,,56.683,,,918.9999962,598.9999938,943.0000019,837.4999917
7,0.029166667,7.071,-17.65,6.216,23.567,22.462,11.005,,56.505,,,918.9999962,598.9999938,943.0000019,837.0000064
8,0.033333333,7.177,-17.65,6.595,23.11,22.336,10.953,,56.568,,,918.5000038,598.9999938,942.5000095,837.0000064
9,0.0375,7.234,-17.65,6.673,23.086,22.258,11.363,,56.602,,,918.5000038,598.9999938,942.5000095,837.4999917
10,0.041666667,7.253,-17.65,6.896,22.875,22.354,9.412,,56.622,,,918.5000038,598.9999938,943.0000019,837.0000064
11,0.045833333,7.212,-17.65,6.912,23.345,22.379,13.58,,56.625,,,918.5000038,598.9999938,942.0000172,837.0000064
12,0.05,7.231,-17.65,6.928,23.11,22.258,12.262,,56.626,,,918.5000038,598.9999938,942.5000095,837.0000064
13,0.054166667,6.833,-17.65,6.86,23.567,22.259,14.494,,56.253,,,918.0000114,598.9999938,942.0000172,837.0000064
14,0.058333333,6.834,-17.65,6.862,23.332,22.401,12.48,,56.339,,,918.0000114,598.9999938,942.5000095,837.0000064
15,0.0625,6.868,-17.65,6.868,23.567,22.528,14.623,,56.151,,,918.0000114,598.9999938,942.0000172,837.0000064
16,0.066666667,6.881,-17.65,6.614,22.875,22.66,14.316,,56.425,,,917.4999905,598.9999938,941.4999962,837.0000064
17,0.070833333,6.918,-17.65,6.637,23.567,22.862,14.574,,56.498,,,918.0000114,598.9999938,942.0000172,837.0000064
18,0.075,6.962,-17.65,6.597,22.921,22.929,14.364,,56.499,,,917.4999905,598.5000086,941.4999962,836.5000212
19,0.079166667,7.121,-17.65,6.418,22.875,23.229,14.066,,56.486,,,917.4999905,598.9999938,941.4999962,837.0000064
20,0.083333333,6.687,-17.65,6.609,22.875,23.265,14.397,,56.803,,,917.4999905,598.9999938,941.4999962,837.0000064
21,0.0875,7.206,-17.65,6.614,22.875,23.343,14.567,,56.717,,,917.4999905,598.9999938,941.4999962,837.0000064
22,0.091666667,6.91,-17.65,6.685,22.921,23.37,14.565,,56.752,,,917.4999905,598.5000086,941.4999962,836.5000212
23,0.095833333,6.816,-17.65,6.407,22.921,23.382,14.719,,56.305,,,917.4999905,598.5000086,941.4999962,836.5000212
24,0.1,6.791,-17.65,6.393,22.921,23.328,14.506,,56.322,,,917.4999905,598.5000086,941.4999962,836.5000212
25,0.104166667,6.873,-17.65,6.436,22.921,23.173,14.582,,56.701,,,917.4999905,598.5000086,941.4999962,836.5000212
26,0.108333333,6.898,-17.65,6.449,22.921,23.394,14.426,,56.733,,,917.4999905,598.5000086,941.4999962,836.5000212
27,0.1125,6.918,-17.65,6.464,22.921,23.418,14.554,,56.891,,,917.4999905,598.5000086,941.4999962,836.5000212
28,0.116666667,6.685,-17.65,6.61,22.921,23.068,15.013,,56.665,,,917.4999905,598.5000086,941.4999962,836.5000212
29,0.120833333,6.603,-17.176,6.534,22.852,23.114,15.156,,56.684,,,917.4999905,598.0000073,941.4999962,836.5000212
30,0.125,6.634,-17.176,6.287,22.852,23.19,15.144,,56.757,,,917.4999905,598.0000073,941.4999962,836.5000212
31,0.129166667,6.648,-17.65,6.034,22.921,23.199,15.117,,56.828,,,917.4999905,598.5000086,941.4999962,836.5000212
32,0.133333333,6.675,-17.65,6.051,22.921,23.285,15.04,,56.846,,,917.4999905,598.5000086,941.4999962,836.5000212
33,0.1375,6.786,-17.176,6.114,22.852,23.257,14.939,,56.919,,,917.4999905,598.0000073,941.4999962,836.5000212
34,0.141666667,6.894,-17.176,6.169,22.852,23.374,15.089,,57.005,,,917.4999905,598.0000073,941.4999962,836.5000212
35,0.145833333,6.963,-17.65,6.202,22.967,22.956,14.679,,57.035,,,917.4999905,598.5000086,941.4999962,836.0000038
36,0.15,7.037,-17.176,6.244,22.852,22.701,14.943,,57.045,,,917.4999905,598.0000073,941.4999962,836.5000212
37,0.154166667,6.676,-17.65,6.27,23.073,22.694,14.918,,57.064,,,916.9999981,598.0000073,941.4999962,836.5000212
38,0.158333333,6.644,-17.65,6.291,23.073,22.64,14.938,,56.874,,,916.9999981,598.0000073,941.4999962,836.5000212
39,0.1625,6.723,-17.176,6.592,22.852,22.631,14.778,,56.681,,,917.4999905,598.0000073,941.4999962,836.5000212
40,0.166666667,6.776,-17.176,6.582,22.852,22.798,14.78,,57.027,,,917.4999905,598.0000073,941.4999962,836.5000212
41,0.170833333,6.299,-17.65,6.603,23.073,22.747,14.754,,57.098,,,916.9999981,598.0000073,941.4999962,836.5000212
42,0.175,6.302,-17.65,6.605,23.073,22.719,15.14,,57.043,,,916.9999981,598.0000073,941.4999962,836.5000212
43,0.179166667,6.309,-17.65,6.609,23.073,22.595,15.312,,56.856,,,916.9999981,598.0000073,941.4999962,836.5000212
44,0.183333333,6.258,-17.65,6.611,23.073,22.488,15.433,,56.85,,,916.9999981,598.0000073,941.4999962,836.5000212
45,0.1875,6.251,-17.65,6.606,23.073,22.592,15.733,,56.973,,,916.9999981,598.0000073,941.4999962,836.5000212
46,0.191666667,6.292,-17.65,6.631,23.073,22.427,14.992,,56.703,,,916.9999981,598.0000073,941.4999962,836.5000212
47,0.195833333,6.423,-17.65,6.61,23.143,22.401,14.832,,56.815,,,916.9999981,598.5000086,941.4999962,836.5000212
48,0.2,6.532,-17.65,6.671,23.143,22.351,14.625,,56.463,,,916.9999981,598.5000086,941.4999962,836.5000212
49,0.204166667,6.486,-17.65,6.643,23.377,22.324,16.339,,56.885,,,916.9999981,598.5000086,940.9999752,836.5000212
50,0.208333333,6.532,-17.65,6.666,23.143,22.302,13.623,,56.248,,,916.9999981,598.5000086,941.4999962,836.5000212
51,0.2125,6.564,-17.65,6.649,23.377,22.352,15.559,,56.445,,,916.9999981,598.5000086,940.9999752,836.5000212
52,0.216666667,6.527,-17.65,6.665,23.11,22.404,15.239,,55.892,,,917.4999905,598.9999938,940.9999752,837.0000064
53,0.220833333,6.414,-17.65,6.343,23.11,22.585,14.763,,56.066,,,916.5000057,598.9999938,940.4999828,837.0000064
54,0.225,6.415,-17.65,6.346,23.155,22.627,14.658,,55.97,,,916.5000057,598.5000086,940.4999828,836.5000212
55,0.229166667,6.843,-17.65,6.3,23.155,22.764,14.569,,56.681,,,916.5000057,598.5000086,940.4999828,836.5000212
56,0.233333333,6.885,-17.65,6.059,23.155,22.748,14.525,,56.496,,,916.5000057,598.5000086,940.4999828,836.5000212
57,0.2375,6.919,-17.65,6.044,23.332,22.736,14.546,,56.363,,,916.9999981,598.9999938,940.9999752,837.0000064
58,0.241666667,7.002,-17.65,6.086,23.086,22.325,14.889,,56.222,,,916.5000057,598.9999938,940.4999828,837.4999917
59,0.245833333,6.645,-17.65,6.163,23.11,22.121,14.495,,56.08,,,916.5000057,598.9999938,940.4999828,837.0000064
60,0.25,7.126,-17.65,5.938,23.307,21.931,16.203,,56.007,,,916.9999981,598.9999938,940.9999752,837.4999917
61,0.254166667,6.663,-17.65,6.166,23.307,21.88,16.302,,55.872,,,916.9999981,598.9999938,940.9999752,837.4999917
62,0.258333333,6.761,-17.65,6.227,23.086,21.868,15.799,,56.161,,,916.5000057,598.9999938,940.4999828,837.4999917
63,0.2625,6.841,-17.65,6.271,23.086,21.867,15.721,,55.645,,,916.5000057,598.9999938,940.4999828,837.4999917
64,0.266666667,6.403,-17.65,6.255,23.086,21.97,15.813,,55.618,,,916.5000057,598.9999938,940.4999828,837.4999917
65,0.270833333,6.492,-17.65,6.309,23.155,21.782,15.668,,55.726,,,916.5000057,599.4999951,940.4999828,837.4999917
66,0.275,6.491,-17.65,6.256,23.155,21.741,15.517,,55.939,,,916.5000057,599.4999951,940.4999828,837.4999917
67,0.279166667,6.601,-17.65,6.366,23.155,21.873,14.253,,55.644,,,916.5000057,599.4999951,940.4999828,837.4999917
68,0.283333333,6.612,-17.65,6.371,23.155,21.962,13.913,,55.276,,,916.5000057,599.4999951,940.4999828,837.4999917
69,0.2875,6.629,-17.65,6.383,23.135,21.906,13.848,,55.139,,,916.5000057,600.0000125,940.4999828,838.0000091
70,0.291666667,6.618,-17.65,6.108,23.135,21.957,13.845,,54.88,,,916.5000057,600.0000125,940.4999828,838.0000091
71,0.295833333,6.697,-17.65,6.153,23.135,22.017,13.493,,54.748,,,916.5000057,600.0000125,940.4999828,838.0000091
72,0.3,6.65,-17.65,6.076,23.135,22.166,13.314,,54.822,,,916.5000057,600.0000125,940.4999828,838.0000091
73,0.304166667,6.611,-17.65,6.088,23.135,22.07,13.308,,55.273,,,916.5000057,600.0000125,940.4999828,838.0000091
74,0.308333333,6.613,-17.65,6.358,23.11,22.045,13.626,,55.261,,,916.5000057,600.0000125,940.4999828,838.4999943
75,0.3125,6.615,-17.65,6.357,23.11,22.069,13.839,,55.372,,,916.5000057,600.0000125,940.4999828,838.4999943
76,0.316666667,6.634,-17.65,6.367,23.11,21.902,14.055,,54.988,,,916.5000057,600.0000125,940.4999828,838.4999943
77,0.320833333,6.63,-17.65,6.366,23.11,21.784,14.043,,55.005,,,916.5000057,600.0000125,940.4999828,838.4999943
78,0.325,6.526,-17.65,6.311,23.179,21.819,14.174,,54.969,,,916.5000057,600.5000138,940.4999828,838.4999943
79,0.329166667,6.584,-17.65,6.309,23.179,21.779,16.251,,55.413,,,916.5000057,600.5000138,939.9999905,838.4999943
80,0.333333333,6.583,-17.65,6.305,23.179,21.856,16.264,,55.42,,,916.5000057,600.5000138,939.9999905,838.4999943
81,0.3375,6.436,-17.65,6.223,23.179,21.918,16.245,,55.488,,,916.5000057,600.5000138,939.9999905,838.4999943
82,0.341666667,6.802,-17.65,6.407,23.179,22.073,16.406,,55.526,,,916.5000057,600.5000138,939.9999905,838.4999943
83,0.345833333,6.749,-17.65,6.642,23.179,22.128,16.407,,55.831,,,916.5000057,600.5000138,939.9999905,838.4999943
84,0.35,6.735,-17.65,6.636,23.179,21.985,16.337,,55.778,,,916.5000057,600.5000138,939.9999905,838.4999943
85,0.354166667,6.696,-17.65,6.874,23.179,21.6,16.293,,55.919,,,916.5000057,600.5000138,939.9999905,838.4999943
86,0.358333333,6.663,-17.65,6.908,23.086,21.455,16.74,,55.97,,,916.5000057,600.999999,939.9999905,839.4999969
87,0.3625,6.648,-17.65,6.899,23.086,21.105,16.779,,55.727,,,916.5000057,600.999999,939.9999905,839.4999969
88,0.366666667,6.644,-17.65,7.154,23.086,20.788,16.62,,55.594,,,916.5000057,600.999999,939.9999905,839.4999969
89,0.370833333,6.714,-17.65,7.154,23.086,20.674,17.264,,55.615,,,916.5000057,600.999999,939.9999905,839.4999969
90,0.375,6.712,-17.65,7.154,23.086,20.633,17.126,,55.402,,,916.5000057,600.999999,939.9999905,839.4999969
91,0.379166667,6.672,-17.65,7.131,23.086,20.634,17.301,,55.38,,,916.5000057,600.999999,939.9999905,839.4999969
92,0.383333333,6.72,-17.65,7.152,23.155,20.664,17.164,,55.376,,,916.5000057,601.5000004,939.9999905,839.4999969
93,0.3875,6.669,-17.65,7.179,23.155,20.638,17.11,,55.314,,,916.5000057,601.5000004,939.9999905,839.4999969
94,0.391666667,6.652,-17.65,7.165,23.135,20.555,16.848,,55.666,,,916.5000057,602.0000178,939.9999905,840.0000143
95,0.395833333,6.618,-17.65,7.14,23.155,20.604,16.751,,55.671,,,916.5000057,601.5000004,939.9999905,839.4999969
96,0.4,6.579,-17.65,7.114,23.135,20.615,16.206,,55.633,,,916.5000057,602.0000178,939.9999905,840.0000143
97,0.404166667,6.573,-17.65,7.153,23.135,20.602,15.816,,55.599,,,916.5000057,602.0000178,939.9999905,840.0000143
98,0.408333333,7.065,-17.65,6.934,23.135,20.647,15.501,,55.581,,,916.5000057,602.0000178,939.9999905,840.0000143
99,0.4125,7.054,-17.65,6.929,23.11,20.601,15.645,,55.566,,,916.5000057,602.0000178,939.9999905,840.4999995
100,0.416666667,7.049,-17.65,7.151,23.11,20.503,15.09,,55.567,,,916.5000057,602.0000178,939.9999905,840.4999995
101,0.420833333,6.96,-17.65,7.104,23.11,20.468,14.998,,55.547,,,916.5000057,602.0000178,939.9999905,840.4999995
102,0.425,6.892,-17.65,7.062,23.11,20.093,14.969,,55.537,,,916.5000057,602.0000178,939.9999905,840.4999995
103,0.429166667,6.848,-17.65,7.044,23.11,20.045,15.006,,55.964,,,916.5000057,602.0000178,939.9999905,840.4999995
104,0.433333333,7.108,-17.65,6.905,23.567,20.09,16.956,,56.01,,,915.9999847,602.0000178,939.4999981,840.4999995
105,0.4375,7.106,-17.65,6.904,23.345,20.122,16.676,,56.139,,,915.4999924,602.0000178,939.0000057,840.4999995
106,0.441666667,6.96,-17.65,6.885,23.567,20.228,16.712,,56.215,,,915.9999847,602.0000178,939.4999981,840.4999995
107,0.445833333,6.953,-17.65,6.874,23.567,19.851,16.59,,56.095,,,915.9999847,602.0000178,939.4999981,840.4999995
108,0.45,7.007,-17.65,6.868,23.567,19.734,16.299,,56.5,,,915.9999847,602.0000178,939.4999981,840.4999995
109,0.454166667,7.446,-17.65,6.825,23.567,19.435,16.257,,56.246,,,915.9999847,602.0000178,939.4999981,840.4999995
110,0.458333333,7.327,-17.65,6.829,23.523,19.466,16.206,,56.176,,,915.9999847,602.500003,939.4999981,840.9999847
111,0.4625,7.49,-17.501,6.847,23.592,19.515,15.879,,56.056,,,915.9999847,602.9999882,939.4999981,840.9999847
112,0.466666667,7.037,-17.501,6.878,23.592,19.505,15.635,,56.208,,,915.9999847,602.9999882,939.4999981,840.9999847
113,0.470833333,7.551,-17.501,6.68,23.592,19.587,15.485,,56.142,,,915.9999847,602.9999882,939.4999981,840.9999847
114,0.475,7.211,-17.03,6.748,23.371,19.697,15.497,,55.956,,,916.5000057,602.9999882,939.4999981,840.9999847
115,0.479166667,7.224,-17.03,6.755,23.371,19.6,16.252,,55.687,,,916.5000057,602.9999882,939.4999981,840.9999847
116,0.483333333,7.247,-17.03,6.767,23.32,19.436,16.685,,55.645,,,916.5000057,602.9999882,939.4999981,841.5000021
117,0.4875,7.254,-17.03,6.767,23.371,19.433,15.85,,55.339,,,916.5000057,602.9999882,939.4999981,840.9999847
118,0.491666667,7.599,-17.03,6.68,23.32,19.437,16.104,,55.792,,,916.5000057,602.9999882,939.4999981,841.5000021
119,0.495833333,7.521,-17.03,6.641,23.32,19.297,15.946,,55.282,,,916.5000057,602.9999882,939.4999981,841.5000021
120,0.5,7.409,-17.03,6.583,23.32,19.36,15.424,,55.229,,,916.5000057,602.9999882,939.4999981,841.5000021
121,0.504166667,7.757,-17.03,6.175,23.32,19.319,15.027,,55.136,,,916.5000057,602.9999882,939.4999981,841.5000021
122,0.508333333,7.738,-17.03,6.23,23.32,19.456,14.606,,55.42,,,916.5000057,602.9999882,939.4999981,841.5000021
123,0.5125,7.74,-17.03,6.19,23.32,19.55,14.181,,55.22,,,916.5000057,602.9999882,939.4999981,841.5000021
124,0.516666667,7.711,-17.03,6.176,23.32,19.632,14.013,,55.028,,,916.5000057,602.9999882,939.4999981,841.5000021
125,0.520833333,7.535,-17.501,6.345,23.389,19.41,14.482,,54.831,,,916.5000057,603.4999895,939.4999981,841.5000021
126,0.525,7.514,-17.03,6.333,23.371,19.511,14.513,,54.818,,,916.5000057,604.0000069,939.4999981,842.0000196
127,0.529166667,7.481,-17.03,6.423,23.371,19.452,14.646,,54.803,,,916.5000057,604.0000069,939.4999981,842.0000196
128,0.533333333,7.453,-17.03,6.084,23.135,19.886,11.963,,54.763,,,916.5000057,604.0000069,939.9999905,842.0000196
129,0.5375,7.429,-17.03,6.071,23.135,19.895,11.37,,55.006,,,916.5000057,604.0000069,939.9999905,842.0000196
130,0.541666667,7.53,-17.03,6.131,23.135,20.046,10.903,,54.738,,,916.5000057,604.0000069,939.9999905,842.0000196
131,0.545833333,7.606,-17.03,6.136,23.11,20.106,11.042,,54.667,,,916.5000057,604.0000069,939.9999905,842.5000048
132,0.55,7.573,-17.501,6.118,23.592,20.136,10.899,,54.577,,,916.9999981,604.0000069,940.4999828,842.0000196
133,0.554166667,7.491,-17.03,6.127,23.11,20.047,11.063,,54.893,,,916.5000057,604.0000069,939.9999905,842.5000048
134,0.558333333,7.852,-17.03,6.009,23.11,20.038,11.096,,54.951,,,916.5000057,604.0000069,939.9999905,842.5000048
135,0.5625,7.825,-17.03,6.052,22.889,20.186,10.741,,55.209,,,916.9999981,604.0000069,939.9999905,842.5000048
136,0.566666667,7.916,-17.03,6.062,23.345,20.093,11.244,,55.149,,,917.4999905,604.0000069,940.4999828,842.5000048
137,0.570833333,7.696,-17.03,5.961,23.345,20.123,11.207,,55.106,,,917.4999905,604.0000069,940.4999828,842.5000048
138,0.575,7.667,-17.03,5.943,23.345,19.944,11.179,,55.103,,,917.4999905,604.0000069,940.4999828,842.5000048
139,0.579166667,7.574,-17.501,5.886,23.414,19.744,11.283,,55.049,,,917.4999905,604.5000082,940.4999828,842.5000048
140,0.583333333,7.508,-17.03,6.107,23.371,19.821,11.301,,54.959,,,917.4999905,604.9999934,940.4999828,842.99999
